,mbti,function_pair,danceability,valence,energy,loudness,acousticness,instrumentalness,liveness,major_count,minor_count,mind,energy_aspect,nature,tactics
34,INFP,NF,0.6516133298069295,0.4748969319271333,0.5754295176981992,0.7059602783734986,0.3745551170691024,0.12249071506998728,0.2159545321015114,30.0,20.0,Introvert,Intuitive,Feeling,Prospecting
35,INFP,NF,0.7250462840518381,0.5125599232981783,0.5546470709997929,0.7491499888390649,0.4700721943082652,0.0005905993819305581,0.2234455842061403,42.0,8.0,Introvert,Intuitive,Feeling,Prospecting
36,INFP,NF,0.6310949484263423,0.5593000958772771,0.7142827571931277,0.7526689327603111,0.18864247441974008,0.21272878451190683,0.2966954238334762,26.0,24.0,Introvert,Intuitive,Feeling,Prospecting
37,INFP,NF,0.78595874107379,0.3906879194630872,0.3642127923825295,0.5464749811394325,0.6013812323277529,0.829780294782767,0.20355337861737777,33.0,17.0,Introvert,Intuitive,Feeling,Prospecting
38,INFP,NF,0.8057392224279293,0.5085858101629913,0.6265576485199751,0.7473390918106992,0.25895156532883096,0.008082953063079441,0.3225708787222945,24.0,26.0,Introvert,Intuitive,Feeling,Prospecting
39,INFP,NF,0.8977862999206562,0.6358341323106425,0.8118815980128339,0.8116101414754473,0.07918800219695266,0.12602009394655517,0.32513084610818993,35.0,15.0,Introvert,Intuitive,Feeling,Prospecting
40,INFP,NF,0.6739159182640894,0.5956375838926173,0.6330762377039592,0.7417375604100197,0.30192536286424626,0.1590007784355413,0.29292937060148144,29.0,17.0,Introvert,Intuitive,Feeling,Prospecting
41,INFP,NF,0.6037212377677864,0.37059204218600195,0.49486648726971644,0.6728373922404659,0.527966394759861,0.039628134666424286,0.21941378545434922,30.0,20.0,Introvert,Intuitive,Feeling,Prospecting
42,INFP,NF,0.765440359693203,0.6234348034515821,0.76048437176568,0.8453831873935119,0.18499074431945323,6.602944919105618e-05,0.2806431693235571,40.0,10.0,Introvert,Intuitive,Feeling,Prospecting
43,INFP,NF,0.6350224808251785,0.464570949185043,0.5192154833367834,0.6721424191821154,0.45364823531804965,0.25416979065624434,0.2843632156068082,34.0,16.0,Introvert,Intuitive,Feeling,Prospecting
44,INFP,NF,0.6622533721237768,0.5041131351869608,0.582782032705444,0.6950434711355615,0.37048684879676164,0.10505389354662789,0.2435566160468588,32.0,18.0,Introvert,Intuitive,Feeling,Prospecting
45,INFP,NF,0.6924596667548268,0.5299616490891659,0.6269944110950113,0.7826379929530703,0.36530238613478716,0.011106148118523904,0.2364732402472435,30.0,20.0,Introvert,Intuitive,Feeling,Prospecting
